split,feature_0,class_0,class_1,class_2,class_3
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,1.4925800561904907,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,3.492579936981201,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,-3.507420063018799,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,-1.5074199438095093,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
test,0.49258002638816833,1.0,0.0,0.0,0.0
test,-2.507420063018799,0.0,1.0,0.0,0.0
test,2.492579936981201,0.0,0.0,1.0,0.0
test,-4.507420063018799,0.0,0.0,0.0,1.0
origin,-0.5074199713363169,,,,
